Name,link,Budget places (total),Lowest score budget,Paid places,Average cost (₽),Teachers with scientists step(%),Education level,Specialties
Пятигорский филиал Российского экономического университета имени Г.В. Плеханова,https://vuzopedia.ru/vuz/4017,17,75.91,183,86429,100.0,"Бакалавриат, Специалитет","Информационные системы и технологии, Менеджмент, Правовое обеспечение национальной безопасности, Экономика, Экономическая безопасность"
Севастопольский филиал Российского экономического университета имени Г.В. Плеханова,https://vuzopedia.ru/vuz/4029,12,82.6,110,94961,94.44,"Бакалавриат, Специалитет, Магистратура","Менеджмент, Экономика, Экономическая безопасность, Юриспруденция"
Смоленский филиал Российского экономического университета имени Г.В. Плеханова,https://vuzopedia.ru/vuz/4031,0,77.0,144,61296,87.5,"Бакалавриат, Специалитет","Менеджмент, Таможенное дело, Технология продукции и организация общественного питания, Торговое дело, Экономика"
Тульский филиал Российского экономического университета имени Г.В. Плеханова,https://vuzopedia.ru/vuz/4035,14,86.37,131,107100,90.0,"Бакалавриат, Магистратура","Менеджмент, Экономика"
Курский филиал Финансового университета при Правительстве Российской Федерации,https://vuzopedia.ru/vuz/4078,43,68.18,127,100671,93.33,"Бакалавриат, Магистратура","Бизнес-информатика, Менеджмент, Экономика"
Тамбовский филиал Российского нового университета,https://vuzopedia.ru/vuz/4165,0,57.4,320,58353,89.47,Бакалавриат,"Прикладная информатика, Экономика, Юриспруденция"
Лесосибирский педагогический институт Сибирского федерального университета,https://vuzopedia.ru/vuz/4193,170,57.69,36,146619,57.14,"Бакалавриат, Специалитет","Информационные системы и технологии, Педагогика и психология девиантного поведения, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки), Психолого-педагогическое образование"
Уральский институт управления Российской академии народного хозяйства и государственной сл..,https://vuzopedia.ru/vuz/4354,222,0.0,400,168029,81.43,"Бакалавриат, Специалитет, Магистратура","Государственное и муниципальное управление, Менеджмент, Экономика, Экономическая безопасность, Юриспруденция"
Саяно-Шушенский филиал Сибирского федерального университета,https://vuzopedia.ru/vuz/4530,126,61.04,8,142950,41.67,"Бакалавриат, Магистратура","Информационные системы и технологии, Строительство, Электроэнергетика и электротехника"
Хакасский технический институт Сибирского федерального университета,https://vuzopedia.ru/vuz/4532,138,62.42,66,124366,52.94,"Бакалавриат, Специалитет, Магистратура","Конструкторско-технологическое обеспечение машиностроительных производств, Прикладная информатика, Строительство, Строительство уникальных зданий и сооружений, Экономика"
Московский областной казачий институт технологий и управления (филиал МГУТУ),https://vuzopedia.ru/vuz/4686,0,71.0,100,72250,33.33,Бакалавриат,"Информатика и вычислительная техника, Менеджмент, Технология продукции и организация общественного питания, Экономика"
Смоленский казачий институт промышленных технологий и бизнеса (филиал)  МГУТУ им. К.Г. Раз..,https://vuzopedia.ru/vuz/4688,15,0.0,170,41667,87.5,Бакалавриат,"Автоматизация технологических процессов и производств, Информатика и вычислительная техника, Менеджмент, Технология продукции и организация общественного питания, Экономика"
Липецкий казачий институт технологий и управления (филиал) МГУТУ им. К.Г. Разумовского (ПКУ),https://vuzopedia.ru/vuz/4690,27,0.0,293,64000,87.5,Бакалавриат,"Автоматизация технологических процессов и производств, Технология продукции и организация общественного питания, Экономика"
Новосибирский технологический институт (филиал РГУ им. Косыгина),https://vuzopedia.ru/vuz/4723,68,70.34,102,150727,42.31,"Бакалавриат, Магистратура","Дизайн, Конструирование изделий легкой промышленности, Менеджмент, Технология изделий легкой промышленности, Технология полиграфического и упаковочного производства"
Дербентский филиал Дагестанского государственного университета,https://vuzopedia.ru/vuz/5022,0,0.0,155,78251,100.0,Бакалавриат,"Экономика, Юриспруденция"
Избербашский филиал Дагестанского государственного университета,https://vuzopedia.ru/vuz/5024,0,0.0,120,77275,58.33,Бакалавриат,"Экономика, Юриспруденция"
Кизлярский филиал Дагестанского государственного университета,https://vuzopedia.ru/vuz/5030,0,0.0,175,66457,92.86,Бакалавриат,"Биология, Психология, Филология, Экономика, Юриспруденция"
Хасавюртский филиал Дагестанского государственного университета,https://vuzopedia.ru/vuz/5032,0,0.0,350,77336,100.0,Бакалавриат,"Экономика, Юриспруденция"
Набережночелнинский институт КФУ (филиал),https://vuzopedia.ru/vuz/5056,883,66.43,429,142714,85.65,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Бизнес-информатика, Государственное и муниципальное управление, Землеустройство и кадастры, Информатика и вычислительная техника"
Елабужский институт КФУ (филиал),https://vuzopedia.ru/vuz/5058,537,71.79,168,122353,75.35,"Бакалавриат, Магистратура","Лингвистика, Мехатроника и робототехника, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки), Прикладная информатика"
Крымский федеральный университет имени В.И. Вернадского,https://vuzopedia.ru/vuz/5346,3323,68.02,2642,125410,75.17,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Архитектура, Бизнес-информатика, Биология"
Орловский государственный университет имени И.С. Тургенева,https://vuzopedia.ru/vuz/5374,1809,70.56,1875,111578,82.91,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Биология, Биотехнические системы и технологии, Биотехнология"
Нижневартовский государственный университет,https://vuzopedia.ru/vuz/5402,804,61.66,1480,186829,70.12,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Декоративно-прикладное искусство и народные промыслы, Дизайн, Документоведение и архивоведение"
Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ,https://vuzopedia.ru/vuz/5428,2526,75.06,1592,143481,73.93,"Бакалавриат, Специалитет, Магистратура","Авиастроение, Биотехнические системы и технологии, Двигатели летательных аппаратов, Инноватика, Инфокоммуникационные технологии и системы связи"
Адыгейский государственный университет,https://vuzopedia.ru/vuz/5443,898,64.7,1684,89787,86.73,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Биология, Дизайн, Журналистика, Информатика и вычислительная техника"
Тамбовский государственный университет имени Г.Р. Державина,https://vuzopedia.ru/vuz/5471,1749,70.69,865,107659,66.91,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Библиотечно-информационная деятельность, Биология, Градостроительство, Дизайн"
Кабардино-Балкарский государственный университет им. Х.М. Бербекова,https://vuzopedia.ru/vuz/5482,1277,66.82,1518,124893,70.78,"Бакалавриат, Специалитет, Магистратура","Архитектура, Биология, География, Гостиничное дело, Государственное и муниципальное управление"
Новгородский государственный университет имени Ярослава Мудрого,https://vuzopedia.ru/vuz/5493,1875,69.34,1156,108253,77.0,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Архитектура, Бизнес-информатика, Биология"
Камчатский государственный технический университет,https://vuzopedia.ru/vuz/5510,236,52.41,485,186208,63.77,"Бакалавриат, Специалитет, Магистратура","Биотехнология, Водные биоресурсы и аквакультура, Государственное и муниципальное управление, Информатика и вычислительная техника, Менеджмент"
Тульский государственный педагогический университет им. Л.Н. Толстого,https://vuzopedia.ru/vuz/5523,921,66.27,775,123644,82.21,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Биология, Биотехнология, Гостиничное дело"
Марийский государственный университет,https://vuzopedia.ru/vuz/5539,1976,65.98,414,125663,76.1,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Биология, Ветеринария, Журналистика"
Институт деловой карьеры,https://vuzopedia.ru/vuz/5575,0,0.0,6300,92727,81.03,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Государственное и муниципальное управление, Лингвистика, Менеджмент, Прикладная информатика"
Филиал Российского государственного университета им. А.Н. Косыгина (Технологии. Дизайн. Ис..,https://vuzopedia.ru/vuz/5586,26,68.89,33,120017,66.67,"Бакалавриат, Магистратура","Дизайн, Информационные системы и технологии, История, Лингвистика"
Восточно-Сибирский государственный институт культуры,https://vuzopedia.ru/vuz/5598,353,59.26,322,132844,39.84,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Библиотечно-информационная деятельность, Вокальное искусство, Гостиничное дело, Графика"
Брянский государственный технический университет,https://vuzopedia.ru/vuz/5604,1320,62.4,795,90535,80.9,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Бизнес-информатика, Информатика и вычислительная техника, Информационная безопасность, Информационная безопасность автоматизированных систем"
Бурятский государственный университет имени Доржи Банзарова,https://vuzopedia.ru/vuz/5641,1077,64.74,1009,143015,86.32,"Бакалавриат, Специалитет, Магистратура","Биология, Востоковедение и африканистика, География, Геология, Государственное и муниципальное управление"
Курский государственный университет,https://vuzopedia.ru/vuz/5655,1394,68.92,1449,107819,82.81,"Бакалавриат, Специалитет, Магистратура","Архитектура, Биология, География, Государственное и муниципальное управление, Дизайн"
Псковский государственный университет,https://vuzopedia.ru/vuz/5658,1326,67.55,1000,105556,65.51,"Бакалавриат, Специалитет, Магистратура","Биология, География, Гостиничное дело, Государственное и муниципальное управление, Дизайн"
Брянский государственный университет имени академика И.Г. Петровского,https://vuzopedia.ru/vuz/5669,679,71.39,1971,110157,79.78,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Биология, Биотехнология, География, Государственное и муниципальное управление"
Брянский государственный инженерно-технологический университет,https://vuzopedia.ru/vuz/5687,379,60.05,467,88533,78.99,"Бакалавриат, Специалитет, Магистратура","Государственное и муниципальное управление, Информатика и вычислительная техника, Информационные системы и технологии, Ландшафтная архитектура, Лесное дело"
Владимирский государственный университет имени Александра Григорьевича и Николая Григорьев..,https://vuzopedia.ru/vuz/5717,1724,67.66,2358,121651,68.84,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Бизнес-информатика, Биология, Биотехнические системы и технологии"
Тверской государственный университет,https://vuzopedia.ru/vuz/5739,1235,69.23,1085,117119,80.53,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Биология, География, Государственное и муниципальное управление, Документоведение и архивоведение"
Петрозаводский государственный университет,https://vuzopedia.ru/vuz/5754,1511,69.84,1055,157725,73.92,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Биология, Биотехнология, Водные биоресурсы и аквакультура"
Юго-Западный государственный университет,https://vuzopedia.ru/vuz/5770,1176,69.41,3530,107995,81.31,"Бакалавриат, Специалитет, Магистратура","Архитектура, Биотехнические системы и технологии, Вокальное искусство, Горное дело, Гостиничное дело"
Ульяновский государственный университет,https://vuzopedia.ru/vuz/5779,890,65.83,1472,96476,72.6,"Бакалавриат, Специалитет, Магистратура","Авиастроение, Автоматизация технологических процессов и производств, Актерское искусство, Бизнес-информатика, Биология"
Сыктывкарский государственный университет имени Питирима Сорокина,https://vuzopedia.ru/vuz/5796,1232,64.95,1067,128565,75.2,"Бакалавриат, Специалитет, Магистратура","Архитектура, Биология, Декоративно-прикладное искусство и народные промыслы, Документоведение и архивоведение, Журналистика"
Тульский государственный университет,https://vuzopedia.ru/vuz/5808,1869,69.36,9765,110691,83.03,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Биология, Биотехнология, Боеприпасы и взрыватели"
Поволжский государственный технологический университет,https://vuzopedia.ru/vuz/5821,2654,66.55,718,101079,76.83,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Архитектура, Бизнес-информатика, Биотехнические системы и технологии, Биотехнология"
Мурманский арктический университет,https://vuzopedia.ru/vuz/5830,1011,0.0,695,194616,0.0,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Биология, Биотехнология, Водные биоресурсы и аквакультура, Государственное и муниципальное управление"
Калужский государственный университет им. К.Э. Циолковского,https://vuzopedia.ru/vuz/5839,707,75.56,1135,143095,78.32,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Архитектура, Государственное и муниципальное управление, Дизайн, Живопись"
Тихоокеанский государственный университет,https://vuzopedia.ru/vuz/5849,2322,65.72,1064,161925,60.31,"Бакалавриат, Специалитет, Магистратура","Агрономия, Архитектура, Горное дело, Государственное и муниципальное управление, Декоративно-прикладное искусство и народные промыслы"
Курганский государственный университет,https://vuzopedia.ru/vuz/5868,716,64.21,1175,96152,71.84,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Биология, Биотехнология, География, Государственное и муниципальное управление"
Восточно-Сибирский государственный университет технологий и управления,https://vuzopedia.ru/vuz/5875,1150,58.6,953,118508,77.37,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Биотехнические системы и технологии, Биотехнология, Горное дело, Государственное и муниципальное управление"
Тамбовский государственный технический университет,https://vuzopedia.ru/vuz/5886,1124,66.95,1387,86938,89.24,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Архитектура, Бизнес-информатика, Биотехнические системы и технологии, Биотехнология"
Вологодский государственный университет,https://vuzopedia.ru/vuz/5890,904,65.9,753,122422,70.81,"Бакалавриат, Специалитет, Магистратура","Архитектура, Государственное и муниципальное управление, Землеустройство и кадастры, Информатика и вычислительная техника, Информационные системы и технологии"
Карачаево-Черкесский государственный университет имени У.Д. Алиева,https://vuzopedia.ru/vuz/5920,753,61.47,840,91697,69.36,"Бакалавриат, Магистратура","Биология, География, Государственное и муниципальное управление, Декоративно-прикладное искусство и народные промыслы, Дизайн"
Ивановский государственный химико-технологический университет,https://vuzopedia.ru/vuz/5934,666,62.82,755,102967,83.18,"Бакалавриат, Магистратура","Автоматизация технологических процессов и производств, Биотехнология, Информационные системы и технологии, Материаловедение и технологии материалов, Менеджмент"
Костромская государственная сельскохозяйственная академия,https://vuzopedia.ru/vuz/5960,409,58.4,805,67995,96.55,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Архитектура, Ветеринария, Зоотехния"
Липецкий государственный технический университет,https://vuzopedia.ru/vuz/5967,1034,64.48,1001,102729,70.1,"Бакалавриат, Специалитет, Магистратура","Архитектура, Биотехнические системы и технологии, Государственное и муниципальное управление, Градостроительство, Документоведение и архивоведение"
Чувашский государственный университет имени И.Н. Ульянова,https://vuzopedia.ru/vuz/5974,1831,71.14,4697,78376,68.52,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Вокальное искусство, География, Государственное и муниципальное управление, Дизайн"
Комсомольский-на-Амуре государственный университет,https://vuzopedia.ru/vuz/5992,530,61.11,1311,149971,72.91,"Бакалавриат, Специалитет, Магистратура","Авиастроение, Государственное и муниципальное управление, Дизайн архитектурной среды, Документоведение и архивоведение, Информатика и вычислительная техника"
Тверской государственный технический университет,https://vuzopedia.ru/vuz/6022,765,63.66,1800,106349,72.67,"Бакалавриат, Специалитет, Магистратура","Биотехнические системы и технологии, Биотехнология, Горное дело, Землеустройство и кадастры, Информатика и вычислительная техника"
Южно-Уральский государственный гуманитарно-педагогический университет,https://vuzopedia.ru/vuz/6031,1248,68.65,732,88622,82.04,"Бакалавриат, Магистратура","Дизайн, Информационные системы и технологии, Менеджмент, Народная художественная культура, Педагогическое образование"
Ивановский государственный политехнический университет,https://vuzopedia.ru/vuz/6046,434,64.32,388,97854,76.83,"Бакалавриат, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Землеустройство и кадастры, Информационные системы и технологии, Искусство костюма и текстиля"
Национальный исследовательский Мордовский государственный университет им. Н.П.Огарева,https://vuzopedia.ru/vuz/6098,2381,68.34,1461,114738,84.62,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Архитектура, Библиотечно-информационная деятельность, Биоинженерия и биоинформатика"
Горно-Алтайский государственный университет,https://vuzopedia.ru/vuz/6114,509,61.33,351,104966,82.69,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Биология, Ветеринария, Гостиничное дело, Землеустройство и кадастры"
Сахалинский государственный университет,https://vuzopedia.ru/vuz/6121,778,62.22,775,201975,70.0,"Бакалавриат, Специалитет, Магистратура","Востоковедение и африканистика, Геология, Государственное и муниципальное управление, Жилищное хозяйство и коммунальная инфраструктура, Лингвистика"
Тувинский государственный университет,https://vuzopedia.ru/vuz/6129,1190,58.31,466,145539,56.98,"Бакалавриат, Специалитет, Магистратура","Биология, Ветеринарно-санитарная экспертиза, География, Горное дело, Документоведение и архивоведение"
Хакасский государственный университет им. Н.Ф. Катанова,https://vuzopedia.ru/vuz/6143,1087,63.96,699,133035,80.73,"Бакалавриат, Специалитет, Магистратура","Агрономия, Биология, Ветеринария, Горное дело, Государственное и муниципальное управление"
Майкопский государственный технологический университет,https://vuzopedia.ru/vuz/6151,853,63.11,1567,91198,83.95,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Гостиничное дело, Государственное и муниципальное управление, Землеустройство и кадастры"
Забайкальский государственный университет,https://vuzopedia.ru/vuz/6160,1315,62.16,1180,109349,76.8,"Бакалавриат, Специалитет, Магистратура","Востоковедение и африканистика, Горное дело, Государственное и муниципальное управление, Дизайн, Журналистика"
Сибирский государственный индустриальный университет,https://vuzopedia.ru/vuz/6191,1403,63.89,833,121449,75.77,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Горное дело, Информатика и вычислительная техника, Информационные системы и технологии"
Чеченский государственный университет имени Ахмата Абдулхамидовича Кадырова,https://vuzopedia.ru/vuz/6212,2942,63.75,1335,83818,70.52,"Бакалавриат, Специалитет, Магистратура","Агрономия, Актерское искусство, Бизнес-информатика, Биология, Ветеринария"
Камчатский государственный университет имени Витуса Беринга,https://vuzopedia.ru/vuz/6254,165,62.92,700,198892,76.36,"Бакалавриат, Магистратура","Биология, Лингвистика, Менеджмент, Педагогическое образование, Педагогическое образование (с двумя профилями подготовки)"
Северо-Осетинский государственный университет имени Коста Левановича Хетагурова,https://vuzopedia.ru/vuz/6258,799,66.98,617,123740,73.36,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Биология, Востоковедение и африканистика, География, Дизайн"
Ивановский государственный энергетический университет имени В.И. Ленина,https://vuzopedia.ru/vuz/6275,934,69.15,1115,101500,69.71,"Бакалавриат, Специалитет, Магистратура","Атомные станции: проектирование, эксплуатация и инжиниринг, Информатика и вычислительная техника, Конструкторско-технологическое обеспечение машиностроительных производств, Менеджмент, Механика и математическое моделирование"
Дальневосточный государственный университет путей сообщения,https://vuzopedia.ru/vuz/6283,682,60.86,1282,160928,64.2,"Бакалавриат, Специалитет, Магистратура","Градостроительство, Документоведение и архивоведение, Интеллектуальные системы в гуманитарной сфере, Инфокоммуникационные технологии и системы связи, Информационная безопасность автоматизированных систем"
Курский государственный аграрный университет имени И.И.Иванова,https://vuzopedia.ru/vuz/6284,810,54.17,782,89644,86.82,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Ветеринария, Ветеринарно-санитарная экспертиза, Землеустройство и кадастры"
Северо-Восточный федеральный университет имени М. К. Аммосова,https://vuzopedia.ru/vuz/6299,3392,63.69,778,274425,63.53,"Бакалавриат, Специалитет, Магистратура","Архитектура, Биология, География, Горное дело, Государственное и муниципальное управление"
Орловский государственный аграрный университет имени Н.В. Парахина,https://vuzopedia.ru/vuz/6326,683,63.13,894,84999,84.43,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Биотехнология, Ветеринария"
Пермский государственный аграрно-технологический университет имени академика Д.Н. Прянишни..,https://vuzopedia.ru/vuz/6337,764,56.16,1556,112177,79.73,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Биология, Биотехнология"
Брянский государственный аграрный университет,https://vuzopedia.ru/vuz/6350,404,54.59,513,80285,85.81,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Ветеринария"
Сургутский государственный университет,https://vuzopedia.ru/vuz/6373,1321,68.54,589,186643,66.16,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Биология, Государственное и муниципальное управление, Инфокоммуникационные технологии и системы связи, Информатика и вычислительная техника"
Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщ..,https://vuzopedia.ru/vuz/6433,1372,66.87,3957,67478,72.67,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Бизнес-информатика, Государственное и муниципальное управление, Дизайн архитектурной среды"
Ухтинский государственный технический университет,https://vuzopedia.ru/vuz/6521,562,62.96,335,177826,60.67,"Бакалавриат, Специалитет, Магистратура","Документоведение и архивоведение, Землеустройство и кадастры, Информатика и вычислительная техника, Информационные системы и технологии, Нефтегазовое дело"
Воркутинский филиал Ухтинского государственного технического университета,https://vuzopedia.ru/vuz/6525,26,0.0,100,127440,44.44,"Бакалавриат, Специалитет","Горное дело, Менеджмент, Нефтегазовое дело, Строительство, Техносферная безопасность"
Филиал Ухтинского государственного технического университета в г. Усинске,https://vuzopedia.ru/vuz/6527,10,0.0,55,179200,84.62,Бакалавриат,"Менеджмент, Нефтегазовое дело, Экономика"
Уфимский государственный институт искусств имени Загира Исмагилова,https://vuzopedia.ru/vuz/6539,95,66.2,96,201943,32.32,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Графика, Дизайн, Дирижирование, Живопись"
Пермский государственный институт культуры,https://vuzopedia.ru/vuz/6589,207,64.83,335,133927,37.25,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Библиотечно-информационная деятельность, Вокальное искусство, Дирижирование, Документоведение и архивоведение"
Крымский инженерно-педагогический университет имени Февзи Якубова,https://vuzopedia.ru/vuz/6600,1360,55.36,950,73133,71.83,"Бакалавриат, Специалитет, Магистратура","Вокальное искусство, Декоративно-прикладное искусство и народные промыслы, Дизайн, Дирижирование, Журналистика"
Северо-Кавказский государственный институт искусств,https://vuzopedia.ru/vuz/6621,11,61.72,215,153259,46.67,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Дирижирование, Искусство концертного исполнительства, Искусство народного пения, Литературное творчество"
Удмуртский государственный университет филиал в городе Воткинске,https://vuzopedia.ru/vuz/6687,74,66.67,925,88110,64.29,Бакалавриат,"Бизнес-информатика, Государственное и муниципальное управление, Дизайн, Менеджмент, Нефтегазовое дело"
Удмуртский государственный университет филиал в городе Можге,https://vuzopedia.ru/vuz/6689,0,0.0,150,46667,0.0,Бакалавриат,"Менеджмент, Психолого-педагогическое образование, Экономика"
Московский государственный технический университет имени Н.Э. Баумана (Калужский филиал),https://vuzopedia.ru/vuz/6700,565,66.15,162,175674,70.16,"Бакалавриат, Специалитет, Магистратура","Биотехнические системы и технологии, Инноватика, Информатика и вычислительная техника, Информационная безопасность автоматизированных систем, Конструирование и технология электронных средств"
Уфимский университет науки и технологий,https://vuzopedia.ru/vuz/6703,2858,70.93,4345,109763,81.1,"Бакалавриат, Специалитет","Авиастроение, Автоматизация технологических процессов и производств, Безопасность информационных технологий в правоохранительной сфере, Бизнес-информатика, Биоинженерия и биоинформатика"
"
                    Государственный институт экономики, финансов, права и технологий                ",https://vuzopedia.ru/vuz/6974,455,73.39,355,107250,72.5,"Бакалавриат, Магистратура","Бизнес-информатика, Государственное и муниципальное управление, Дизайн, Лингвистика, Менеджмент"
Поволжский казачий институт управления и пищевых технологий (филиал) МГУТУ им. К.Г. Разумо..,https://vuzopedia.ru/vuz/7021,50,0.0,220,49571,68.75,"Бакалавриат, Магистратура","Автоматизация технологических процессов и производств, Психолого-педагогическое образование, Технология продукции и организация общественного питания, Холодильная, криогенная техника и системы жизнеобеспечения, Экономика"
Пензенский казачий институт технологий (филиал) МГУТУ им. К.Г. Разумовского,https://vuzopedia.ru/vuz/7025,100,60.1,250,62500,84.62,"Бакалавриат, Специалитет, Магистратура","Информационные системы и технологии, Менеджмент, Пожарная безопасность, Психология, Сервис"
Кубанский казачий государственный институт пищевой индустрии и бизнеса (филиал) МГУТУ им. ..,https://vuzopedia.ru/vuz/7029,71,56.15,234,69545,100.0,Бакалавриат,"Водные биоресурсы и аквакультура, Менеджмент, Прикладная информатика, Продукты питания из растительного сырья, Технологические машины и оборудование"
Новороссийский политехнический институт (филиал) Кубанского государственного технологическ..,https://vuzopedia.ru/vuz/7080,13,63.1,240,109245,100.0,Бакалавриат,"Автоматизация технологических процессов и производств, Государственное и муниципальное управление, Программная инженерия, Продукты питания из растительного сырья, Строительство"
