Name,link,Budget places (total),Lowest score budget,Paid places,Average cost (₽),Teachers with scientists step(%),Education level,Specialties
Московский гуманитарно-технологический университет – Московский архитектурно-строительный ..,https://vuzopedia.ru/vuz/799,32,73.54,3110,167671,91.67,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Архитектура, Геодезия и дистанционное зондирование, Гостиничное дело, Государственное и муниципальное управление"
Нижегородский государственный инженерно-экономический университет (Княгининский университет),https://vuzopedia.ru/vuz/2056,548,59.22,409,85068,69.79,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Бизнес-информатика, Инфокоммуникационные технологии и системы связи, Информатика и вычислительная техника, Информационные системы и технологии"
Национальный исследовательский университет «Высшая школа экономики» в Нижнем Новгороде,https://vuzopedia.ru/vuz/3935,644,91.54,535,288667,70.0,"Бакалавриат, Магистратура","Бизнес-информатика, Дизайн, Лингвистика, Математика, Менеджмент"
РАНХиГС Санкт-Петербург,https://vuzopedia.ru/vuz/4312,326,87.71,2590,213828,81.12,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Гостиничное дело, Государственное и муниципальное управление, Журналистика, Лингвистика"
Башкирский кооперативный институт (филиал) Российского университета кооперации,https://vuzopedia.ru/vuz/4389,0,0.0,1070,68915,92.86,"Бакалавриат, Специалитет","Государственное и муниципальное управление, Менеджмент, Таможенное дело, Технология продукции и организация общественного питания, Экономика"
Медицинский университет Реавиз в Москве,https://vuzopedia.ru/vuz/5309,0,0.0,990,356667,84.0,Специалитет,"Лечебное дело, Стоматология, Фармация"
Институт отраслевого менеджмента РАНХиГС,https://vuzopedia.ru/vuz/5343,94,0.0,465,413846,0.0,"Бакалавриат, Магистратура","Гостиничное дело, Инноватика, Менеджмент, Реклама и связи с общественностью"
Московский государственный университет имени М.В. Ломоносова,https://vuzopedia.ru/vuz/1,5849,0.0,3012,441071,0.0,"Бакалавриат, Специалитет, Магистратура","Астрономия, Биоинженерия и биоинформатика, Биотехнология, Востоковедение и африканистика, География"
Российский государственный университет нефти и газа им. И.М. Губкина,https://vuzopedia.ru/vuz/65,2562,77.29,686,386532,70.74,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Геология, Информатика и вычислительная техника, Информационная безопасность, Информационная безопасность автоматизированных систем"
Российская международная академия туризма,https://vuzopedia.ru/vuz/72,0,0.0,530,177975,24.49,"Бакалавриат, Специалитет, Магистратура","Гостиничное дело, Государственное и муниципальное управление, Дизайн архитектурной среды, Менеджмент, Психолого-педагогическое образование"
Российский химико-технологический университет им. Д.И. Менделеева,https://vuzopedia.ru/vuz/76,1861,76.65,391,273590,70.04,"Бакалавриат, Специалитет, Магистратура","Биотехнология, Инноватика, Информатика и вычислительная техника, Информационные системы и технологии, Материаловедение и технологии материалов"
Российский государственный гуманитарный университет,https://vuzopedia.ru/vuz/96,1181,87.6,2427,231516,88.87,"Бакалавриат, Специалитет, Магистратура","Антропология и этнология, Востоковедение и африканистика, Гостиничное дело, Государственное и муниципальное управление, Дизайн"
Московский государственный лингвистический университет,https://vuzopedia.ru/vuz/126,983,91.52,406,306379,65.26,"Бакалавриат, Специалитет, Магистратура","Библиотечно-информационная деятельность, Гостиничное дело, Документоведение и архивоведение, Журналистика, Зарубежное регионоведение"
Всероссийская академия внешней торговли Министерства экономического развития Российской Фе..,https://vuzopedia.ru/vuz/151,454,90.39,435,480750,43.31,"Бакалавриат, Специалитет, Магистратура","Государственное и муниципальное управление, Информационные системы и технологии, Менеджмент, Таможенное дело, Экономика"
Московский государственный психолого-педагогический университет,https://vuzopedia.ru/vuz/168,926,75.42,319,264153,73.51,"Бакалавриат, Специалитет, Магистратура","Клиническая психология, Математическое обеспечение и администрирование информационных систем, Организация работы с молодежью, Педагогика и психология девиантного поведения, Прикладная информатика"
Московский авиационный институт,https://vuzopedia.ru/vuz/291,3695,77.45,865,320148,67.58,"Бакалавриат, Специалитет, Магистратура","Авиастроение, Бизнес-информатика, Биотехнические системы и технологии, Государственное и муниципальное управление, Инноватика"
Московский государственный технологический университет «СТАНКИН»,https://vuzopedia.ru/vuz/312,1532,73.83,522,289256,65.82,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Информатика и вычислительная техника, Информационные системы и технологии, Конструкторско-технологическое обеспечение машиностроительных производств, Материаловедение и технологии материалов"
Государственный университет по землеустройству,https://vuzopedia.ru/vuz/324,629,63.27,995,205553,72.01,"Бакалавриат, Специалитет, Магистратура","Архитектура, Геодезия и дистанционное зондирование, Дизайн, Землеустройство и кадастры, Ландшафтная архитектура"
Российский университет медицины,https://vuzopedia.ru/vuz/333,773,89.31,1000,371000,87.77,"Бакалавриат, Специалитет, Магистратура","Клиническая психология, Лечебное дело, Медицинская кибернетика, Менеджмент, Социальная работа"
Национальный исследовательский Московский государственный строительный университет,https://vuzopedia.ru/vuz/334,2539,72.68,1593,298167,72.64,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Архитектура, Государственное и муниципальное управление, Градостроительство, Информационные системы и технологии"
Национальный исследовательский университет «Высшая школа экономики»,https://vuzopedia.ru/vuz/342,5054,96.24,3860,622353,66.65,"Бакалавриат, Специалитет, Магистратура","Актерское искусство, Бизнес-информатика, Биология, Востоковедение и африканистика, География"
Московский государственный университет спорта и туризма,https://vuzopedia.ru/vuz/368,305,69.88,260,188447,70.49,"Бакалавриат, Магистратура","Гостиничное дело, Менеджмент, Педагогическое образование, Психология, Реклама и связи с общественностью"
Всероссийский государственный университет юстиции,https://vuzopedia.ru/vuz/374,111,80.89,660,252139,81.93,"Бакалавриат, Специалитет, Магистратура","Правовое обеспечение национальной безопасности, Правоохранительная деятельность, Судебная и прокурорская деятельность, Судебная экспертиза, Юриспруденция"
Московский государственный университет технологий и управления им. К.Г. Разумовского,https://vuzopedia.ru/vuz/376,913,75.83,1311,197759,84.0,"Бакалавриат, Специалитет, Магистратура","Автоматизация технологических процессов и производств, Биология, Биотехнология, Водные биоресурсы и аквакультура, Государственное и муниципальное управление"
Национальный исследовательский университет «МЭИ»,https://vuzopedia.ru/vuz/385,3127,72.25,3101,265368,72.11,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Биотехнические системы и технологии, Дизайн, Информатика и вычислительная техника, Информационная безопасность"
Российский университет транспорта,https://vuzopedia.ru/vuz/414,3284,63.79,3919,253912,71.09,"Бакалавриат, Специалитет, Магистратура","Аэронавигация, Бизнес-информатика, Водные пути, порты и гидротехнические сооружения, Государственное и муниципальное управление, Инноватика"
Российский экономический университет имени Г.В. Плеханова,https://vuzopedia.ru/vuz/416,941,90.52,2318,369239,72.36,"Бакалавриат, Специалитет, Магистратура","Бизнес-информатика, Гостиничное дело, Государственное и муниципальное управление, Дизайн, Журналистика"
Российский государственный аграрный университет - МСХА имени К.А. Тимирязева,https://vuzopedia.ru/vuz/440,2598,68.39,2788,226931,87.04,"Бакалавриат, Специалитет, Магистратура","Агроинженерия, Агрономия, Агрохимия и агропочвоведение, Биология, Биотехнология"
